annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;436424;;SERVANT;Whitaker;M;2000-12-27;FR;29241;Locquirec;France;Non;En Terminale;S498355737T;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;382457;;CHOLLET;Emmett;M;2000-12-29;FR;35131;Pont-Péan;France;Non;En Terminale;X424733376L;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;326913;;FEVRIER;Évariste;M;2000-03-17;FR;35400;Saint-Malo;France;Oui;En Terminale;E792747434K;Lycée à classe postbac;Lycée Jacques Cartier;Saint-Malo;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Italien;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;374863;;BASSET;Chuck;M;2000-08-04;FR;29150;Châteaulin;France;Non;En Terminale;O119238534L;Lycée sans classe postbac;Lycée Jean Moulin;Châteaulin;29;France;Terminale;Terminale;STMG;;Gestion et Finance;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Gestion et Finance;;
2018-2019;501486;;LEPINE;Vienne;F;2000-10-25;FR;35250;Chevaigné;France;Non;En Terminale;F052628191W;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;432578;;PERES;Gib;M;2000-09-05;FR;35400;Saint-Malo;France;Non;En Terminale;B697861698O;Lycée à classe postbac;Lycée Les Rimains;Saint-Malo;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;834946;;SUZANNE;Wayland;M;1999-10-25;FR;85170;Dompierre-sur-Yon;France;Non;En Terminale;V479541064U;Lycée à classe postbac;LGT SAINT-FRANCOIS D'ASSISE;La Roche-sur-Yon;85;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;804917;;VERHAEGHE;Jem;M;2000-10-09;FR;53940;Le Genest-Saint-Isle;France;Non;En Terminale;B236487487A;Lycée à classe postbac;Lycée Reaumur;Laval;53;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;519766;;GRAVIER;Osbert;M;2000-07-20;FR;35700;Rennes;France;Non;En Terminale;M322630515Y;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;510785;;NOURY;Wilkie;M;2000-08-13;FR;56600;Lanester;France;Non;En Terminale;U147427760M;Lycée à classe postbac;Lycée St Joseph - LaSalle Lorient;Lorient;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
