annee_candidature;numero_candidat;classement;nom;prenom;sexe;date_naissance;nationalite;code_postal;ville;pays;boursier;profil_candidat;numero_ine;type_etablissement;libelle_etablissement;commune_etablissement;departement_etablissement;pays_etablissement;niveau_etudes_actuel;type_formation;serie;dominante;specialite;lv1;lv2;diplome;diplome_serie;diplome_dominante;diplome_specialite;diplome_mention;diplome_mois_annee_obtention_bac
2018-2019;436260;;BINET;Ellen;F;2000-09-30;FR;22300;Lannion;France;Non;En Terminale;Y894562528B;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;203217;;AIME;Jepson;M;2000-05-04;FR;35160;Breteil;France;Non;En Terminale;U931959710R;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;272017;;NADAL;Gord;M;2000-09-29;FR;75012;Paris 12e Arrondissement;France;Non;En Terminale;B140836717W;Lycée à classe postbac;Lycée Arago;Paris 12e  Arrondissement;75;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;395616;;GUILLOUX;Perry;M;2000-07-29;FR;56430;Néant-sur-Yvel;France;Non;En Terminale;M749668054B;Lycée à classe postbac;Lycée Marcel Callo;Redon;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;841400;;DOUAY;Theobald;M;2000-07-05;FR;44120;Vertou;France;Non;En Terminale;S957747041V;Lycée à classe postbac;Lycée St Joseph La Joliverie;Saint-Sébastien-sur-Loire;44;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;298919;;BOURG;Tylor;M;2000-09-30;FR;29690;La Feuillée;France;Oui;En Terminale;E133744487M;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;501333;;ROUXEL;Caleb;M;2000-02-26;FR;35510;Cesson-Sévigné;France;Oui;En Terminale;P617555817Y;Lycée à classe postbac;Lycée Joliot-Curie;Rennes;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;210654;;CAMPION;Jérémie;M;2000-10-25;FR;22000;Saint-Brieuc;France;Non;En Terminale;T743981573R;Lycée à classe postbac;Lycée Sacre Coeur;Saint-Brieuc;22;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;203197;;BOUILLOT;Zack;M;2000-06-19;FR;35160;Breteil;France;Non;En Terminale;P027804116B;Lycée sans classe postbac;Lycée Rene Cassin;Montfort-sur-Meu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;479124;;HEUZE;Zeph;M;2000-10-06;FR;35500;Saint-M'Hervé;France;Non;En Terminale;D260316478R;Lycée à classe postbac;Lycée Bertrand D'Argentre;Vitré;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;424040;;CAILLOT;Jared;M;2000-11-12;FR;35360;Montauban-de-Bretagne;France;Non;En Terminale;Z536168327L;Lycée à classe postbac;Lycée professionnel Coetlogon;Rennes;35;France;Terminale;Terminale;P;;Systèmes électroniques numériques;Anglais;;Bac en préparation;Professionnelle;;Systèmes électroniques numériques;;
2018-2019;1117419;;AUCLAIR;Amédée;M;1997-05-17;FR;59131;Rousies;France;Non;Scolarisé en MC, FCIL, MGI, DAEU, MANN hors contrat,bac international;F754133419D;I.U.T;I.U.T. de Valenciennes - Site de Maubeuge;Maubeuge;59;France;Année préparatoire aux études supérieures;Année préparatoire au DAEU;;;;;; DAEU en préparation;DAEU;;DAEU-B;;
2018-2019;652982;;TARDIEU;Clément;M;2001-04-20;FR;35310;Chavagne;France;Non;En Terminale;R749717571N;Lycée sans classe postbac;SECTION (E.N)ENSEIGNT GEN.ET TECHNO LEGTA T. MONOD LE RHEU;Le Rheu;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;332249;;VIGNON;Elvis;M;2000-07-02;FR;56320;Lanvénégen;France;Non;En Terminale;S892464273F;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;646222;;GUILLET;Ernie;M;1999-01-06;FR;29650;Botsorhel;France;Non;En Terminale;J862454354U;Lycée à classe postbac;Lycée N-D DU KREISKER;Saint-Pol-de-Léon;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Admis sans mention;07/2017   
2018-2019;480930;;THERON;Harland;M;2000-10-08;FR;44360;Le Temple-de-Bretagne;France;Non;En Terminale;M366980656D;Lycée sans classe postbac;Lycée Jacques Prevert;Savenay;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Pas de spécialité (S.I);Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Pas de spécialité (S.I);;
2018-2019;146954;;BOSCHER;Cyril;M;2000-06-04;FR;37400;Amboise;France;Non;En Terminale;W852559923N;Lycée sans classe postbac;Lycée Léonard de Vinci;Amboise;37;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;1201307;;IMBERT;Colton;M;1989-06-06;FR;75014;Paris 14e Arrondissement;France;Non;Non scolarisé;S821407158R;;;;;;;;;;;;;Bac français obtenu;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;Admis mention Assez Bien;07/2007   
2018-2019;536403;;CLOAREC;Eldon;M;2000-03-08;FR;22440;Ploufragan;France;Non;En Terminale;F018641172O;Lycée à classe postbac;Lycée Eugene Freyssinet;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;266061;;GRAND;Damian;M;2000-09-23;FR;60000;Beauvais;France;Non;En Terminale;M746937858M;Lycée à classe postbac;Lycée Felix Faure;Beauvais;60;France;Terminale;Terminale;STMG;;Systèmes d'information et de gestion;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Systèmes d'information et de gestion;;
2018-2019;235650;;JUILLARD;Bronte;M;2000-08-03;FR;29460;Irvillac;France;Non;En Terminale;P842719674J;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;519866;;MOLLARD;Ted;M;2000-09-07;FR;35850;Langan;France;Non;En Terminale;H119586261F;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;523230;;MURAT;Antony;M;2000-12-26;FR;29600;Morlaix;France;Non;En Terminale;D375718392D;Lycée à classe postbac;Lycée Tristan Corbiere;Morlaix;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;211773;;BEAL;Hal;M;2000-02-12;FR;35510;Cesson-Sévigné;France;Non;En Terminale;L245677636S;Lycée sans classe postbac;Lycée Sevigne;Cesson-Sévigné;35;France;Terminale;Terminale;ES;;Mathématiques;Anglais;Espagnol;Bac en préparation;Economique et social;;Mathématiques;;
2018-2019;235782;;LACAZE;Étienne;M;2000-01-10;FR;29800;Pencran;France;Non;En Terminale;I851365833X;Lycée à classe postbac;Lycée St-Sébastien;Landerneau;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;876363;;ROUGIER;Kendal;M;2000-06-24;FR;56690;Landévant;France;Non;En Terminale;S164212221Q;Lycée sans classe postbac;Lycée Notre Dame Du Voeu;Hennebont;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;416274;;BISSON;Baudouin;M;2001-05-14;FR;44640;Cheix-en-Retz;France;Oui;En Terminale;T134628593D;Lycée sans classe postbac;Lycée Alcide D'Orbigny;Bouaye;44;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;453070;;BON;Ogden;M;2000-12-11;FR;44120;Vertou;France;Oui;En Terminale;B367234482H;Lycée sans classe postbac;Lycée Notre Dame;Rezé;44;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2018-2019;558738;;LANDAIS;Modestine;M;2000-05-29;FR;50220;Ducey-Les Chéris;France;Non;En Terminale;S721513130M;Lycée à classe postbac;Lycée Polyvalent Claude Lehec;Saint-Hilaire-du-Harcouët;50;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2018-2019;1124735;;LAURENS;Rollo;M;1987-01-16;FR;44120;Vertou;France;Non;Scolarisé en MC, FCIL, MGI, DAEU, MANN hors contrat,bac international;U546865536M;I.U.T;I.U.T. Saint-Nazaire;Saint-Nazaire;44;France;Année préparatoire aux études supérieures;Année préparatoire au DAEU;;;;;; DAEU en préparation;DAEU;;DAEU-B;;
2018-2019;382563;;LACOSTE;Lucian;M;2000-03-13;FR;35890;Laillé;France;Non;En Terminale;E587219593L;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;483861;;FRANCOISE;Kory;M;2003-02-27;FR;35200;Rennes;France;Non;En Terminale;C048141443K;Lycée à classe postbac;Lycée Pierre Mendes France;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Chinois;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2018-2019;875176;;POUPARD;Lessie;F;2000-10-19;FR;49300;Cholet;France;Oui;En Terminale;V653588983I;Lycée à classe postbac;Lycée Europe Robert Schuman;Cholet;49;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;643869;;BERTHELOT;Kelvin;M;2000-12-13;FR;35230;Bourgbarré;France;Non;En Terminale;E788127120W;Lycée à classe postbac;Lycée Bréquigny;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;519615;;RICARD;Absolon;M;2000-07-23;FR;35410;Nouvoitou;France;Non;En Terminale;J287993723R;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;STI2D;;Innovation Technologique et Eco conception;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Innovation Technologique et Eco conception;;
2018-2019;436400;;DIEU;Norman;M;2000-08-27;FR;22560;Pleumeur-Bodou;France;Non;En Terminale;H019852896N;Lycée à classe postbac;Lycée Felix Le Dantec;Lannion;22;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;269588;;CLAVEL;Sandford;M;1999-10-01;FR;35340;La Bouëxière;France;Non;En Terminale;Q319906834D;Lycée à classe postbac;Lycée Francois René De Chateaubriand;Rennes;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;127047;;MAISONNEUVE;Jerrod;M;2000-11-29;FR;59279;Loon-Plage;France;Oui;En Terminale;O987581856V;Lycée sans classe postbac;IETP de Hoymille;Hoymille;59;France;Terminale;Terminale;STAV;;;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'agronomie et du vivant;;Transformation Alimentaire;;
2018-2019;571086;;ANDRIEUX;Olivier;M;2000-10-21;FR;29160;Crozon;France;Non;En Terminale;G944473445Q;Lycée à classe postbac;Lycée St Louis;Châteaulin;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;558659;;DELRIEU;Russel;M;2000-05-22;FR;84120;Pertuis;France;Non;En Terminale;D444456201E;Lycée à classe postbac;Lycée St Eloi;Aix-en-Provence;13;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;212927;;PICHARD;Jerrard;M;2000-07-04;FR;44410;Herbignac;France;Non;En Terminale;G226438295S;Lycée sans classe postbac;Lycée GALILEE;Guérande;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;395701;;GRALL;Colton;M;2000-02-06;FR;56350;Saint-Vincent-sur-Oust;France;Non;En Terminale;A013755744P;Lycée à classe postbac;Lycée Marcel Callo;Redon;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;841289;;GUEGUEN;Stephen;M;1999-09-28;FR;44230;Saint-Sébastien-sur-Loire;France;Non;En Terminale;W005942878S;Lycée à classe postbac;Lycée St Joseph La Joliverie;Saint-Sébastien-sur-Loire;44;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;382467;;BESSIERE;Mitch;M;2000-02-21;FR;35170;Bruz;France;Non;En Terminale;I838232536L;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;STMG;;Mercatique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies du Management et de la Gestion;;Mercatique;;
2018-2019;505611;;BEAUMONT;Jarrod;M;2000-07-21;FR;29860;Plabennec;France;Non;En Terminale;C162318908W;Lycée à classe postbac;Lycée La Pérouse - Kerichen;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;202082;;MELIN;Clinton;M;2000-04-25;FR;22400;Landéhen;France;Non;En Terminale;T357380027L;Lycée sans classe postbac;Lycée St Joseph;Lamballe;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;523349;;CROSNIER;Benjy;M;2000-06-16;FR;29670;Taulé;France;Non;En Terminale;X866515833U;Lycée à classe postbac;Lycée Tristan Corbiere;Morlaix;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;209788;;MAILLE;Morton;M;2000-04-15;FR;29860;Bourg-Blanc;France;Oui;En Terminale;R586586876N;Lycée sans classe postbac;Lycée St Francois - Notre Dame;Lesneven;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;332221;;PELLE;Frederick;M;2000-01-29;FR;29190;Gouézec;France;Oui;En Terminale;F025471491K;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;S;Sciences de l'ingénieur;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Informatique et Sciences du numérique;;
2018-2019;382429;;ROSSIGNOL;Gaspard;M;2000-11-14;FR;35170;Bruz;France;Non;En Terminale;X488184297H;Lycée sans classe postbac;Lycée Anita Conti;Bruz;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;280340;;PACAUD;Talbot;M;2000-01-09;FR;56800;Loyat;France;Non;En Terminale;Q481521814Y;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;479167;;CHAPRON;Jacob;M;2000-02-09;FR;35220;Châteaubourg;France;Non;En Terminale;R283822142R;Lycée à classe postbac;Lycée Bertrand D'Argentre;Vitré;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Allemand;Anglais;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;605860;;WIART;Derby;M;1998-12-12;Hors UE;93100;Montreuil;France;Oui;En Terminale;W958563432M;Lycée à classe postbac;Lycée CONDORCET;Montreuil;93;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Allemand;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;210790;;CROS;Tristram;M;2000-04-26;FR;22460;Allineuc;France;Non;En Terminale;J421737257G;Lycée à classe postbac;Lycée Sacre Coeur;Saint-Brieuc;22;France;Terminale;Terminale;P;;Systèmes électroniques numériques;Anglais;;Bac en préparation;Professionnelle;;Systèmes électroniques numériques;;
2018-2019;211630;;DELALANDE;Ted;M;2000-01-08;FR;35530;Servon-sur-Vilaine;France;Non;En Terminale;G351187849K;Lycée sans classe postbac;Lycée Sevigne;Cesson-Sévigné;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;395641;;MAURICE;Korbin;M;1999-03-01;FR;35131;Chartres-de-Bretagne;France;Non;En Terminale;X742503214X;Lycée à classe postbac;Lycée Marcel Callo;Redon;35;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2018-2019;483758;;RIBEIRO;Hyram;M;2000-07-14;FR;35580;Goven;France;Non;En Terminale;N326594137Q;Lycée à classe postbac;Lycée Pierre Mendes France;Rennes;35;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2018-2019;510973;;GENET;Ward;M;2000-08-07;FR;56550;Belz;France;Non;En Terminale;D286651268B;Lycée à classe postbac;Lycée Benjamin Franklin;Auray;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;861394;;ABADIE;Dominick;M;1999-04-18;FR;35190;La Baussaine;France;Non;En Terminale;I124121287B;Lycée sans classe postbac;Lycée La Providence;Montauban-de-Bretagne;35;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;667631;;TANGUY;Britton;M;2000-08-23;FR;22590;Pordic;France;Non;En Terminale;I185506574U;Lycée à classe postbac;Lycée Ernest Renan;Saint-Brieuc;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;544627;;ROUAULT;Rainier;M;2000-01-15;FR;22170;Plouagat;France;Non;En Terminale;U532257523V;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;657249;;DURIEUX;Stew;M;2000-12-11;FR;35150;Chanteloup;France;Non;En Terminale;Q487523381J;Lycée sans classe postbac;Lycée Jean Brito;Bain-de-Bretagne;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;Anglais;Allemand;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;;
2018-2019;280267;;VIALA;Morris;M;2000-08-28;FR;56800;Taupont;France;Non;En Terminale;H308652541K;Lycée à classe postbac;Lycée La Mennais;Ploërmel;56;France;Terminale;Terminale;S;Sciences de l'ingénieur;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Mathématiques;;
2018-2019;667188;;ALBERTINI;Fernand;M;2000-07-15;FR;22600;Loudéac;France;Non;En Terminale;F085386634E;Lycée à classe postbac;Lycée Fulgence Bienvenue;Loudéac;22;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
2018-2019;377772;;BARRAL;Gratien;M;2000-12-22;FR;56400;Auray;France;Non;En Terminale;I676816490G;Lycée sans classe postbac;Lycée Ste Anne-St Louis;Sainte-Anne-d'Auray;56;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;211521;;BOCQUET;Moss;M;2000-07-19;FR;35690;Acigné;France;Non;En Terminale;V351256536V;Lycée sans classe postbac;Lycée Sevigne;Cesson-Sévigné;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;519685;;CAUDRON;Alvin;M;1998-11-08;FR;35510;Cesson-Sévigné;France;Non;En Terminale;K511762883X;Lycée à classe postbac;Lycée Frédéric OZANAM;Cesson-Sévigné;35;France;Terminale;Terminale;P;;Electrotechnique, énergie, équipements communicants;Anglais;;Bac en préparation;Professionnelle;;Electrotechnique, énergie, équipements communicants;;
2018-2019;740139;;DELAHAYE;Dene;M;2000-05-27;FR;44300;Nantes;France;Non;En Terminale;C797926384K;Lycée à classe postbac;Lycée Gaspard Monge - La Chauvinière;Nantes;44;France;Terminale;Terminale;S;Sciences de l'ingénieur;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de l'ingénieur;Physique-chimie;;
2018-2019;278762;;COUPE;Clive;M;2000-05-10;FR;22800;Le Foeil;France;Non;En Terminale;S224163925Y;Lycée sans classe postbac;Lycée Jean XXIII;Quintin;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;532602;;PENOT;Peregrine;M;2000-09-19;FR;29470;Plougastel-Daoulas;France;Oui;En Terminale;C481633545I;Lycée sans classe postbac;Lycée DE L'IROISE;Brest;29;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;;
2018-2019;332344;;CADIOU;Augustine;M;1999-07-06;FR;29000;Quimper;France;Non;En Terminale;E762217331K;Lycée à classe postbac;Lycée Yves Thepot;Quimper;29;France;Terminale;Terminale;STI2D;;Système informatique et numérique;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Système informatique et numérique;;
2018-2019;657055;;WAGNER;Morley;M;2000-09-06;FR;35470;Bain-de-Bretagne;France;Non;En Terminale;Z957528176C;Lycée sans classe postbac;Lycée Jean Brito;Bain-de-Bretagne;35;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Physique-chimie;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Physique-chimie;;
2018-2019;544665;;FREMONT;Tristen;M;2000-07-21;FR;22480;Saint-Nicolas-du-Pélem;France;Non;En Terminale;K300351697N;Lycée à classe postbac;Lycée Auguste Pavie;Guingamp;22;France;Terminale;Terminale;S;Sciences de la Vie et de la Terre;Mathématiques;Anglais;Espagnol;Bac en préparation;Scientifique;Sciences de la Vie et de la Terre;Mathématiques;;
2018-2019;298873;;POULET;Tybalt;M;2000-05-13;FR;22340;Locarn;France;Non;En Terminale;U436932283M;Lycée à classe postbac;Lycée Paul Sérusier;Carhaix-Plouguer;29;France;Terminale;Terminale;STI2D;;Energies et environnement;Anglais;Espagnol;Bac en préparation;Sciences et Technologies de l'Industrie et du Développement Durable;;Energies et environnement;;
